datetime,fut_close,idx_close,days_left,ann_basis
2022-07-21 16:00:00,6956.6,7034.6,28,14.454
2022-07-24 16:00:00,6971.8,7037.76,28,12.217
2022-07-25 16:00:00,6894.0,6949.19,25,11.595
2022-07-26 16:00:00,6976.2,7018.22,24,9.106
2022-07-27 16:00:00,7108.0,7138.32,23,6.741
2022-07-28 16:00:00,7128.8,7152.33,22,5.458
2022-07-31 16:00:00,7073.0,7100.71,21,6.783
2022-08-01 16:00:00,7066.0,7098.18,18,9.193
2022-08-02 16:00:00,6990.0,6968.29,17,-6.689
2022-08-03 16:00:00,6931.0,6953.98,16,7.539
2022-08-04 16:00:00,6911.0,6975.89,15,22.635
2022-08-07 16:00:00,7061.0,7082.54,14,7.929
2022-08-08 16:00:00,7118.0,7168.96,11,23.587
2022-08-09 16:00:00,7138.2,7183.18,10,22.856
2022-08-10 16:00:00,7201.6,7241.73,9,22.474
2022-08-11 16:00:00,7275.0,7287.65,8,7.92
2022-08-14 16:00:00,7210.0,7218.09,7,5.844
2022-08-15 16:00:00,7275.6,7290.24,4,18.324
2022-08-16 16:00:00,7317.0,7330.48,3,22.373
2022-08-17 16:00:00,7267.8,7315.41,30,7.918
2022-08-18 16:00:00,7317.0,7353.43,29,6.235
2022-08-21 16:00:00,7181.2,7214.48,28,6.013
2022-08-22 16:00:00,7225.0,7275.38,25,10.11
2022-08-23 16:00:00,7267.4,7312.55,24,9.39
2022-08-24 16:00:00,6997.4,7065.34,23,15.26
2022-08-25 16:00:00,6966.0,7032.66,22,15.726
2022-08-28 16:00:00,6812.0,6884.73,21,18.361
2022-08-29 16:00:00,6955.0,7018.72,18,18.409
2022-08-30 16:00:00,6920.0,6954.51,17,10.654
2022-08-31 16:00:00,6721.2,6757.01,16,12.09
2022-09-01 16:00:00,6708.0,6731.67,15,8.556
2022-09-04 16:00:00,6728.0,6774.19,14,17.777
2022-09-05 16:00:00,6777.0,6808.87,11,15.531
2022-09-06 16:00:00,6851.0,6894.71,10,23.14
2022-09-07 16:00:00,6921.0,6965.56,9,25.944
2022-09-08 16:00:00,6892.8,6908.71,8,10.507
2022-09-12 16:00:00,6934.4,6935.59,4,1.566
2022-09-13 16:00:00,6809.4,6800.93,3,-15.153
2022-09-14 16:00:00,6800.0,6859.25,37,8.521
2022-09-15 16:00:00,6505.6,6599.27,36,14.391
2022-09-18 16:00:00,6378.8,6468.39,35,14.444
2022-09-19 16:00:00,6345.0,6441.1,32,17.018
2022-09-20 16:00:00,6366.0,6461.25,31,17.357
2022-09-21 16:00:00,6373.4,6438.29,30,12.262
2022-09-22 16:00:00,6437.4,6486.79,29,9.583
