交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20150918,IC1509                        ,1,国泰君安    ,277,-109,国泰君安    ,0,-215,国泰君安    ,0,-264
20150918,IC1509                        ,2,鲁证期货    ,269,-57,南华期货    ,0,-126,南华期货    ,0,-36
20150918,IC1509                        ,3,华泰期货    ,251,-71,永安期货    ,0,-47,永安期货    ,0,-136
20150918,IC1509                        ,4,安信期货    ,244,85,一德期货    ,0,-7,一德期货    ,0,-42
20150918,IC1509                        ,5,中信期货    ,214,-193,鲁证期货    ,0,-260,鲁证期货    ,0,-291
20150918,IC1509                        ,6,申银万国    ,201,-47,光大期货    ,0,-53,光大期货    ,0,-109
20150918,IC1509                        ,7,海通期货    ,191,-305,东海期货    ,0,-16,东海期货    ,0,-19
20150918,IC1509                        ,8,国信期货    ,145,-96,浙商期货    ,0,-27,浙商期货    ,0,-70
20150918,IC1509                        ,9,永安期货    ,133,-60,中粮期货    ,0,-1,中粮期货    ,0,-1
20150918,IC1509                        ,10,华西期货    ,132,-26,华泰期货    ,0,-215,华泰期货    ,0,-197
20150918,IC1509                        ,11,光大期货    ,123,-360,五矿经易    ,0,-15,五矿经易    ,0,-11
20150918,IC1509                        ,12,上海中期    ,106,5,广发期货    ,0,-48,广发期货    ,0,-152
20150918,IC1509                        ,13,招商期货    ,100,-86,信达期货    ,0,-2,信达期货    ,0,-9
20150918,IC1509                        ,14,上海东证    ,95,-68,中信期货    ,0,-109,中信期货    ,0,-292
20150918,IC1509                        ,15,兴证期货    ,93,-154,金瑞期货    ,0,-22,金瑞期货    ,0,-6
20150918,IC1509                        ,16,广发期货    ,91,-264,新世纪     ,0,0,新世纪     ,0,-5
20150918,IC1509                        ,17,银河期货    ,88,-236,兴证期货    ,0,-79,兴证期货    ,0,-69
20150918,IC1509                        ,18,中信建投    ,75,-72,建信期货    ,0,-5,建信期货    ,0,-6
20150918,IC1509                        ,19,东兴期货    ,66,58,平安期货    ,0,0,平安期货    ,0,-4
20150918,IC1509                        ,20,长江期货    ,61,-75,格林大华    ,0,-21,格林大华    ,0,-27
